k,silhouette,davies_bouldin,inertia
2,0.22914508885596596,1.5512852186068529,10036121.499313477
3,0.22696122491597207,1.034759404405629,8909292.479006542
4,0.23259821415732632,1.055628275265252,8117013.06227352
5,0.2382432878084486,1.27092302063659,7211401.753292225
