subject_id,epoch_id,delta_Frontal_abs,delta_Frontal_rel,theta_Frontal_abs,theta_Frontal_rel,alpha1_Frontal_abs,alpha1_Frontal_rel,alpha2_Frontal_abs,alpha2_Frontal_rel,beta1_Frontal_abs,beta1_Frontal_rel,beta2_Frontal_abs,beta2_Frontal_rel,gamma_Frontal_abs,gamma_Frontal_rel,delta_Central_abs,delta_Central_rel,theta_Central_abs,theta_Central_rel,alpha1_Central_abs,alpha1_Central_rel,alpha2_Central_abs,alpha2_Central_rel,beta1_Central_abs,beta1_Central_rel,beta2_Central_abs,beta2_Central_rel,gamma_Central_abs,gamma_Central_rel
P1G1_Baseline_S1,0,2.1138559181290184e-08,0.3246954122005328,3.796321365759715e-09,0.05831277903709075,1.220025685023219e-09,0.01874000679499829,1.2362167833849606e-09,0.01898870753715664,6.65776034887069e-09,0.10226544875973853,1.2044150154753497e-08,0.18500221635560454,1.8909700880610927e-08,0.29045939552271777,0.15203356804756435,0.9856754167817026,0.0018618941911226821,0.012071171889250953,0.00015129674015924613,0.0009808983590224108,5.1601045045399515e-05,0.0003345437605304588,8.201457267143656e-05,0.000531723021029148,3.805660246431638e-05,0.0002467314158119015,2.4603942699788926e-05,0.0001595141243248359
P1G1_Baseline_S1,1,1.5939248957536426e-08,0.18494287178915778,3.789965882924772e-09,0.04397491853213225,1.5092925276756473e-09,0.01751229905385667,1.3365094753127163e-09,0.015507499832411054,8.59295096718471e-09,0.0997038839940542,2.0071136316172543e-08,0.23288510018720082,3.4845612285014704e-08,0.40431312807841546,0.09483509260426018,0.995266635437661,0.00024533296974452493,0.002574697958892425,4.8039522430248766e-05,0.0005041607757658047,3.3428160670594755e-05,0.00035081879593164267,6.642043262105709e-05,0.0006970630668852612,3.411853364190927e-05,0.0003580640588980061,2.3684208164932007e-05,0.0002485588564950497
P1G1_Baseline_S1,2,1.6526040271435038e-08,0.1997813293602023,3.242867581956302e-09,0.03920263933896837,9.8211035212401e-10,0.011872614885544716,1.1832267338396227e-09,0.01430388683183836,9.691611276817043e-09,0.11716073256045056,1.711498070008358e-08,0.2069009599442294,3.38798073219198e-08,0.40956894900830987,0.0632552517081979,0.9948577332868906,0.00018815326666425699,0.002959212513257097,3.40297743007712e-05,0.0005352090650323368,2.2065143332279303e-05,0.00034703329585133546,4.437473376187146e-05,0.0006979111750151061,2.2628036596481736e-05,0.00035588629543293883,1.5705619052614837e-05,0.00024701279575379214
P1G1_Baseline_S1,3,4.768174087486982e-08,0.6027268030375482,2.4082480232391687e-09,0.030441749930599657,1.0765956913500252e-09,0.013608837834052158,1.5525502434314428e-09,0.01962519882053605,7.296360160569252e-09,0.09223052163576113,7.140019702464424e-09,0.09025428119717825,1.18545242712651e-08,0.14984854546945361,0.07646770582305439,0.9815159279767057,0.0007928109350618121,0.01017627706051391,0.00015498039767088451,0.0019892806669279655,0.00010280504949389377,0.0013195739622185493,0.000208328366746467,0.0026740387724484564,0.00010676097942784312,0.001370351060842587,7.436678980069823e-05,0.000954549216773735
P1G1_Baseline_S1,4,2.0613362154490025e-08,0.3237959367390966,2.6457977359332736e-09,0.041560350509928255,3.998145327961274e-09,0.06280310809967873,5.899350205099699e-09,0.09266734904747986,9.018205397613365e-09,0.14165851463438955,8.095222909293246e-09,0.12716025000586567,1.3291500050073753e-08,0.20878368492856156,0.02384030544073955,0.9759136266126301,0.0003402266727554913,0.013927331883582614,5.806994058662676e-05,0.00237711913783756,3.998214683501851e-05,0.001636687164705688,8.046637418455287e-05,0.003293927221109458,4.106784519312784e-05,0.0016811307153432248,2.8585814420789097e-05,0.0011701731712461863
P1G1_Baseline_S1,5,1.933842046633065e-08,0.3863035460067284,2.70187299022613e-09,0.0539725112917767,1.5497806195463602e-09,0.030958358254005863,1.946660863672666e-09,0.03888642279851925,6.517023281473406e-09,0.13018380727757917,7.497889753632019e-09,0.14977755832946527,1.0408520165521564e-08,0.20792019987485832,0.010236014768177709,0.9888930783149873,6.366265401302321e-05,0.006150397330058592,1.20399372007192e-05,0.0011631685603026901,8.05421186124441e-06,0.0007781108704169067,1.6690110614262105e-05,0.0016124180393004251,8.551346344721091e-06,0.0008261386293480621,5.969189936655018e-06,0.0005766785946672194
P1G1_Baseline_S1,6,1.1693291528914908e-08,0.2991565812954797,1.8481454074687724e-09,0.04728222677662127,1.1741316270265595e-09,0.030038522743027797,1.5250488501125508e-09,0.03901625125655353,4.9299795876171875e-09,0.1261266629367031,8.007325006490454e-09,0.20485626038999274,9.809606932156915e-09,0.25096513384788766,0.0017926166743517955,0.9871209896827208,1.2819142636935048e-05,0.007058979729300438,2.5777996472309065e-06,0.0014194892725174835,1.7027225794781485e-06,0.000937619973002513,3.361359005085679e-06,0.001850963496687826,1.719140502886828e-06,0.0009466606547252639,1.2080830399036695e-06,0.0006652421251184853
P1G1_Baseline_S1,7,1.4339127669257776e-08,0.24908558872824588,2.728935924834322e-09,0.04740446051654424,1.4954410959088028e-09,0.025977370058672362,2.0811443887857055e-09,0.03615164654824539,7.798066740647064e-09,0.13546054473038732,1.1335881436984191e-08,0.19691607234507294,1.7688473333530494e-08,0.30726721287462966,0.0009184439195299337,0.9869795362823387,6.665598739452091e-06,0.007162995380573317,1.2720203994420202e-06,0.0013669404057087262,9.168054393978157e-07,0.0009852187903874414,1.7530852240041348e-06,0.00188390298488402,8.87674925544217e-07,0.000953914515359298,6.21041185045967e-07,0.0006673841786035421
P1G1_Baseline_S1,8,9.786475847856227e-09,0.16770123838978102,2.106724679772894e-09,0.036100874639323946,1.5208137096393255e-09,0.026060692984036737,1.9095384117983595e-09,0.0327218869580707,7.871222898334748e-09,0.13488142700335728,1.2088573745310738e-08,0.20715003224566145,2.2973261199989777e-08,0.39367024585608434,0.0002260559035048281,0.9837749166594627,2.0525197782356376e-06,0.008932381072421482,3.9699632716511884e-07,0.0017276922328314072,2.7161381473128547e-07,0.0011820388399859777,5.226708957893871e-07,0.0022746166278933256,2.8571062567159106e-07,0.0012433868905918188,1.986558804085256e-07,0.0008645324858266106
P1G1_Baseline_S1,9,2.2182891428928163e-08,0.385117077581908,1.706237061788864e-09,0.029621973898369236,9.410072821768872e-10,0.01633682316195545,1.0618735626236621e-09,0.01843518210911937,7.3711697617724045e-09,0.12797084483368817,9.471926398964039e-09,0.1644420712929672,1.4765278179824929e-08,0.25633992757511526,0.0004878308361284043,0.9884412538134253,3.1267876874365783e-06,0.006335487044457125,6.150423508525819e-07,0.0012461968112755088,4.053936572661176e-07,0.0008214073100755343,8.332093131904231e-07,0.0016882460009194392,4.226480219454569e-07,0.0008563680476803033,3.014704041194257e-07,0.0006108383524919505
P1G1_Baseline_S1,10,7.371679365584717e-09,0.19396895933487684,2.2042826201731457e-09,0.05800067863925965,1.327832268453195e-09,0.03493888305635844,1.560821749548765e-09,0.04106947080208523,7.143539627947214e-09,0.18796598154679336,7.24539873541791e-09,0.19064617205631415,1.1050873716947586e-08,0.29077858223523567,0.00020151158886325113,0.9909810109909551,9.660159877080418e-07,0.004750612634899039,2.2576667238600624e-07,0.0011102611344153271,1.3743593005147933e-07,0.0006758737682393153,2.649644265607558e-07,0.0013030253832597375,1.3888026904732668e-07,0.0006829766476637327,1.0080808705345757e-07,0.000495747666860453
P1G1_Baseline_S1,11,1.436098400056994e-08,0.19335981279279815,5.719607052358109e-09,0.07701019295393971,9.571542658618072e-09,0.1288735992279653,7.962947197250628e-09,0.10721507518413864,1.0905254053784513e-08,0.14683101674745908,1.0145652892210308e-08,0.13660356030064796,1.550479154422958e-08,0.20876031825288646,0.00014486968626705092,0.9886880429208826,1.2756242719316231e-06,0.008705716823280632,1.23428685346893e-07,0.0008423602514812105,6.644181804839956e-08,0.00045344359297696705,1.0169986503539492e-07,0.0006940681871969472,5.139612113058782e-08,0.0003507616515483734,3.881858622483587e-08,0.00026492410546703527
P1G1_Baseline_S1,12,2.3519041034867552e-08,0.2761399516235107,3.3097935884576556e-09,0.0388606933439814,1.9988413148517203e-09,0.023468641564421546,2.3362451465779255e-09,0.027430141424570335,8.54450436537424e-09,0.10032207599805339,1.3972117104621953e-08,0.1640483443023195,3.139018662294294e-08,0.3685560394516847,0.007712126288987245,0.9805977910638848,0.00011009286170856307,0.013998320691075658,1.2665200526317002e-05,0.0016103817798241119,8.635503517441247e-06,0.001098005317420613,1.3976811651670883e-05,0.0017771532931606408,4.947132241942913e-06,0.0006290284633276143,2.2753157759104785e-06,0.0002893066762945373
P1G1_Baseline_S1,13,1.6148560852450375e-08,0.2494759742076672,2.610633904850258e-09,0.04033117518415011,2.1131795926931644e-09,0.03264610031691421,2.3711823248247978e-09,0.036631934320011286,5.6054523913986805e-09,0.08659754321120741,1.3286217881701432e-08,0.20525619464534753,2.2494697060747926e-08,0.34751619757403285,0.0006138316823371564,0.9840550243662818,5.556332270925752e-06,0.008907550466334126,1.0454842854008963e-06,0.001676052399295434,7.154615421628671e-07,0.0011469814047811002,1.3968546008455013e-06,0.0022393464329463573,7.174148228376415e-07,0.0011501127773011547,5.144743670713244e-07,0.0008247718395645184
P1G1_Baseline_S1,14,1.1967017865949781e-08,0.2330039633842954,1.870783127225782e-09,0.03642510508122132,5.103556551168743e-10,0.009936885839886092,7.3500439840392e-10,0.01431091186220192,5.369029383502946e-09,0.10453775033147228,1.0404887547179325e-08,0.20258848647321442,2.040264008120425e-08,0.39724984584090217,0.002278045693754427,0.9855775856765838,1.811480230025951e-05,0.007837219053615263,3.661579528325766e-06,0.0015841520304812368,2.419267974698059e-06,0.001046676234873025,4.910738776518249e-06,0.002124590424379336,2.471963236614274e-06,0.0010694744031267901,1.7572483055042113e-06,0.0007602589127695556
P1G1_Baseline_S1,15,5.8538051862619536e-08,0.5214031988608298,1.0306454081952794e-08,0.09180042649615379,6.391992838484462e-09,0.05693400116735919,5.124190985420705e-09,0.045641586734769465,6.607855053421384e-09,0.05885670350882824,9.309272513946259e-09,0.08291844899844211,1.5892402698313533e-08,0.14155492608349932,8.443512353113226e-05,0.991753182943084,3.706728904581818e-07,0.004353828164970592,8.935177284155467e-08,0.0010495028776092907,6.194544474125976e-08,0.000727595216560767,8.996272272992886e-08,0.0010566789374179843,4.525334372386529e-08,0.0005315341033451911,4.4825025060926263e-08,0.0005265031828050313
P1G1_Baseline_S1,16,1.5654003433567046e-08,0.29868245139442784,2.970694793602059e-09,0.056681628253325414,1.3387957188639883e-09,0.02554457004712325,1.439605406385737e-09,0.027468045068774056,6.341735307234344e-09,0.12100195682835169,9.398946627510442e-09,0.17933434288192918,1.5166406725171295e-08,0.2893789795526364,0.00010420892934231739,0.9756596292606351,1.4482716178066642e-06,0.013559492057118256,2.973277759840671e-07,0.0027837413695383146,1.9837889478912188e-07,0.0018573291191515185,3.3723472699433547e-07,0.00315737154953662,1.8504466421486616e-07,0.0017324869339313009,1.3340549424581014e-07,0.0012490134567033108
P1G1_Baseline_S1,17,9.039277117096195e-09,0.21571716391970738,1.4244963854793786e-09,0.03399478921918482,8.716137082807943e-10,0.020800561233847083,1.4230211184150067e-09,0.03395958281683341,6.079015353927451e-09,0.14507221480060647,7.848658293102712e-09,0.1873037285648459,1.5117292576039264e-08,0.36076551680000163,0.00043959042154329784,0.992063993916508,1.8947491147344296e-06,0.004276053985967167,3.661823997731279e-07,0.0008263973831492582,2.875440073104735e-07,0.0006489269154630312,5.167339726316435e-07,0.001166160916067184,2.634632862340133e-07,0.0005945817451482829,1.8772643812177798e-07,0.00042365945853182726
P1G1_Baseline_S1,18,9.800827839540761e-09,0.248410901667479,2.506976230552533e-09,0.06354159424962139,1.5500389769991324e-09,0.03928714861643089,1.3351814166861807e-09,0.03384138820096012,4.099892730256119e-09,0.10391551270332147,8.373640253883942e-09,0.21223753337594342,1.1687539670009264e-08,0.2962313301727655,8.486907111243798e-05,0.9773337062396634,1.0616124419349756e-06,0.012225297259255512,2.411468979460446e-07,0.0027769950634379628,1.290314184789202e-07,0.0014858976631933764,2.863639614078031e-07,0.003297704900827451,1.4496183822152711e-07,0.001669348901258285,1.05064372792091e-07,0.001209898394181803
