k,n_subjects,n_features,pca_components,silhouette,davies_bouldin,inertia,cluster_sizes
2,130,25,7,0.2515663303786409,1.4672240033765482,2209.8967962223483,64|66
3,130,25,7,0.28900079899855224,1.1684042488266035,1630.8692407065491,43|56|31
4,130,25,7,0.24763839676478439,1.3284216928122068,1407.9332725792628,36|23|43|28
5,130,25,7,0.24005241479270167,1.3192934987583302,1260.5693844083216,19|36|16|19|40
