classifier,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,adjusted_rand_mean,adjusted_rand_std
linear_svm,0.9615384615384615,0.02719641466102106,0.962797619047619,0.027640142293164752,0.9610362926575627,0.02736422852769202,0.8484971681749547,0.10460686306642292
logistic_l2,0.9615384615384615,0.02719641466102106,0.962797619047619,0.027640142293164752,0.9610362926575627,0.02736422852769202,0.8484971681749547,0.10460686306642292
rbf_svm,0.9538461538461538,0.03217923178977213,0.9527976190476191,0.03339413035515182,0.9527740038710804,0.03332062855196075,0.8201682089184044,0.12295782562409137
extra_trees,0.9461538461538461,0.021066252211737177,0.9470238095238095,0.025441641849980406,0.9449947093901729,0.021077762698142512,0.7894999852493901,0.07757335300760415
