classifier,accuracy_mean,accuracy_std,balanced_accuracy_mean,f1_macro_mean
dummy_majority,0.49230769230769234,0.015384615384615375,0.5,0.32982456140350874
logistic_l2,0.9923076923076923,0.015384615384615375,0.9928571428571429,0.9922962962962962
linear_svm,0.9923076923076923,0.015384615384615375,0.9928571428571429,0.9922962962962962
rbf_svm,0.9846153846153847,0.01884222879063982,0.9851648351648352,0.9845925925925926
extra_trees,0.9692307692307693,0.015384615384615375,0.9697802197802199,0.9691851851851851
