k,silhouette,davies_bouldin,cluster_sizes
2,0.2515663303786409,1.4672240033765482,64|66
3,0.28900079899855224,1.1684042488266035,43|56|31
4,0.24763839676478439,1.3284216928122068,36|23|43|28
5,0.24005241479270167,1.3192934987583302,19|36|16|19|40
