method,k,cluster_sizes,silhouette,davies_bouldin,bic,aic
filterbank_tangent_gmm,3,116|1|13,0.04137726500630379,2.20342917287356,144084.62221500117,107285.55261230469
filterbank_tangent_gmm,4,1|97|31|1,0.20300595462322235,2.8029658161258415,140486.46181572985,91420.07983398438
