validation,model,k,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,adjusted_rand_mean,adjusted_rand_std
train_only_cluster_propagation,linear_svm,2,0.9923076923076923,0.017200522903844523,0.9888888888888889,0.024845199749997656,0.9912605042016807,0.019542106694115855,0.9690246087569815,0.06926308044904134
train_only_cluster_propagation,logistic_l2,2,0.9846153846153847,0.021066252211737156,0.888888888888889,0.21872244094477258,0.8892997198879552,0.22390664797664353,0.7690246087569814,0.4350973209430059
train_only_cluster_propagation,tri_ensemble,2,0.9692307692307693,0.03217923178977213,0.7666666666666666,0.25276251480171835,0.7719115561118064,0.265715628175194,0.5482500557307092,0.5115079074560653
train_only_cluster_propagation,rbf_svm,2,0.8846153846153847,0.11213369028548656,0.5111111111111111,0.024845199749997656,0.4869083633453381,0.013182035876650877,0.013545816733067729,0.030289367025893566
